New IFU Name,PublicationID,IFU ID to leverage
AP - BOAP 2019,11306,34889
AP - RR 2019,11306,31666
HP - 7th 2019,11306,31665
AP - BOAP 2019,12235,34889
AP - RR 2019,12235,31666
HP - 7th 2019,12235,31665
AP - BOAP 2019,11310,34889
AP - RR 2019,11310,31666
HP - 7th 2019,11310,31665
AP - BOAP 2019,12241,34889
AP - RR 2019,12241,31666
HP - 7th 2019,12241,31665
AP - BOAP 2019,12242,34889
AP - RR 2019,12242,31666
HP - 7th 2019,12242,31665
AP - BOAP 2019,12243,34889
AP - RR 2019,12243,31666
HP - 7th 2019,12243,31665
AP - BOAP 2019,11870,34889
AP - RR 2019,11870,31666
HP - 7th 2019,11870,31665
AP - BOAP 2019,12244,34889
AP - RR 2019,12244,31666
HP - 7th 2019,12244,31665
AP - BOAP 2019,12261,34889
AP - RR 2019,12261,31666
HP - 7th 2019,12261,31665
AP - BOAP 2019,12527,34889
AP - RR 2019,12527,31666
HP - 7th 2019,12527,31665
AP - BOAP 2019,11871,34889
AP - RR 2019,11871,31666
HP - 7th 2019,11871,31665
AP - BOAP 2019,11872,34889
AP - RR 2019,11872,31666
HP - 7th 2019,11872,31665
AP - BOAP 2019,11873,34889
AP - RR 2019,11873,31666
HP - 7th 2019,11873,31665
AP - BOAP 2019,12528,34889
AP - RR 2019,12528,31666
HP - 7th 2019,12528,31665
AP - BOAP 2019,11307,34889
AP - RR 2019,11307,31666
HP - 7th 2019,11307,31665
AP - BOAP 2019,11874,34889
AP - RR 2019,11874,31666
HP - 7th 2019,11874,31665
AP - BOAP 2019,12529,34889
AP - RR 2019,12529,31666
HP - 7th 2019,12529,31665
AP - BOAP 2019,12772,34889
AP - RR 2019,12772,31666
HP - 7th 2019,12772,31665
AP - BOAP 2019,11869,34889
AP - RR 2019,11869,31666
HP - 7th 2019,11869,31665
AP - BOAP 2019,12790,34889
AP - RR 2019,12790,31666
HP - 7th 2019,12790,31665
AP - BOAP 2019,12791,34889
AP - RR 2019,12791,31666
HP - 7th 2019,12791,31665
AP - BOAP 2019,12792,34889
AP - RR 2019,12792,31666
HP - 7th 2019,12792,31665
AP - BOAP 2019,12793,34889
AP - RR 2019,12793,31666
HP - 7th 2019,12793,31665
AP - BOAP 2019,12794,34889
AP - RR 2019,12794,31666
HP - 7th 2019,12794,31665
AP - BOAP 2019,12795,34889
AP - RR 2019,12795,31666
HP - 7th 2019,12795,31665
AP - BOAP 2019,12796,34889
AP - RR 2019,12796,31666
HP - 7th 2019,12796,31665
AP - BOAP 2019,12797,34889
AP - RR 2019,12797,31666
